year,fn,url
2014,PHA_2014.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/PHA_2014.xlsx
2014,PROJECT_2014.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/PROJECT_2014.xlsx
2014,TRACT_AK_MN_2014.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/TRACT_AK_MN_2014.xlsx
2014,TRACT_MO_WY_2014.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/TRACT_MO_WY_2014.xlsx
2014,PLACE_2014.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/PLACE_2014.xlsx
2014,COUNTY_2014.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/COUNTY_2014.xlsx
2014,CD_2014.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/CD_2014.xlsx
2013,US_2013.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/US_2013.xlsx
2013,STATE_2013.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/STATE_2013.xlsx
2013,CBSA_2013.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/CBSA_2013.xlsx
2013,PHA_2013.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/PHA_2013.xlsx
2013,PROJECT_2013.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/PROJECT_2013.xlsx
2013,TRACT_AK_MN_2013.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/TRACT_AK_MN_2013.xlsx
2013,TRACT_MO_WY_2013.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/TRACT_MO_WY_2013.xlsx
2013,PLACE_2013.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/PLACE_2013.xlsx
2013,COUNTY_2013.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/COUNTY_2013.xlsx
2012,US_2012_2010geography.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/US_2012_2010geography.xlsx
2012,STATE_2012_2010geography.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/STATE_2012_2010geography.xlsx
2012,CBSA_2012_2010geography.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/CBSA_2012_2010geography.xlsx
2012,PHA_2012_2010geography.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/PHA_2012_2010geography.xlsx
2012,PROJECT_2012_2010geography.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/PROJECT_2012_2010geography.xlsx
2012,TRACT_AK_MN_2012_2010geography_2010Geo.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/TRACT_AK_MN_2012_2010geography_2010Geo.xlsx
2012,TRACT_MO_WY_2012_2010geography_2010Geo.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/TRACT_MO_WY_2012_2010geography_2010Geo.xlsx
2012,PLACE_2012_2010geography.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/PLACE_2012_2010geography.xlsx
2012,COUNTY_2012_2010geography.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/COUNTY_2012_2010geography.xlsx
2012,US_2012.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/US_2012.xlsx
2012,STATE_2012.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/STATE_2012.xlsx
2012,CBSA_2012.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/CBSA_2012.xlsx
2012,PHA_2012.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/PHA_2012.xlsx
2012,PROJECT_2012.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/PROJECT_2012.xlsx
2012,TRACT_AK_MN_2012.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/TRACT_AK_MN_2012.xlsx
2012,TRACT_MO_WY_2012.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/TRACT_MO_WY_2012.xlsx
